"Source Name",Domain,Text,"Program Name","Date Accessed","Data Source"
History,google.com,"drug paraphernalia","Google Chrome","2019-01-31 15:57:26 NZDT",Narcos-1.001
History,google.com,"drug paraphernalia","Google Chrome","2019-01-31 15:57:30 NZDT",Narcos-1.001
History,google.com,"drug paraphernalia","Google Chrome","2019-01-31 15:57:37 NZDT",Narcos-1.001
History,google.com,"drug paraphernalia meth","Google Chrome","2019-01-31 15:57:50 NZDT",Narcos-1.001
History,google.com,"drug paraphernalia meth","Google Chrome","2019-01-31 15:57:50 NZDT",Narcos-1.001
History,google.com,"drug paraphernalia meth","Google Chrome","2019-01-31 15:57:50 NZDT",Narcos-1.001
History,google.com,"drug paraphernalia meth","Google Chrome","2019-01-31 15:58:03 NZDT",Narcos-1.001
History,google.com,"gangs nz drugs","Google Chrome","2019-01-31 15:59:17 NZDT",Narcos-1.001
History,google.com,"gangs nz drugs","Google Chrome","2019-01-31 15:59:32 NZDT",Narcos-1.001
History,google.com,"gangs nz drugs","Google Chrome","2019-01-31 15:59:32 NZDT",Narcos-1.001
History,google.com,"gangs nz drugs","Google Chrome","2019-01-31 15:59:32 NZDT",Narcos-1.001
History,google.com,"stuff nz","Google Chrome","2019-02-01 10:11:34 NZDT",Narcos-1.001
History,google.com,metservice,"Google Chrome","2019-02-01 10:25:55 NZDT",Narcos-1.001
History,google.com,"cric info","Google Chrome","2019-02-01 10:26:40 NZDT",Narcos-1.001
History,google.com,"all blacks","Google Chrome","2019-02-01 10:32:55 NZDT",Narcos-1.001
History,google.com,protonmail,"Google Chrome","2019-02-01 13:12:20 NZDT",Narcos-1.001
History,google.com,"image steganography download","Google Chrome","2019-02-01 13:15:04 NZDT",Narcos-1.001
History,google.com,"wind patterns","Google Chrome","2019-02-02 10:37:08 NZDT",Narcos-1.001
History,google.com,"all blacks","Google Chrome","2019-02-02 10:43:06 NZDT",Narcos-1.001
History,google.com,"all blacks","Google Chrome","2019-02-02 10:43:06 NZDT",Narcos-1.001
History,google.com,"best places to trade drugs","Google Chrome","2019-02-02 14:01:34 NZDT",Narcos-1.001
History,google.com,"best places to trade drugs","Google Chrome","2019-02-02 14:01:34 NZDT",Narcos-1.001
History,google.com,"best places to trade drugs","Google Chrome","2019-02-02 14:01:34 NZDT",Narcos-1.001
History,google.com,"wellington libraries","Google Chrome","2019-02-02 14:01:51 NZDT",Narcos-1.001
History,google.com,"courteney place","Google Chrome","2019-02-02 14:02:51 NZDT",Narcos-1.001
History,google.com,"eastbourne library","Google Chrome","2019-02-02 14:04:36 NZDT",Narcos-1.001
History,google.com,eastbourne,"Google Chrome","2019-02-02 14:05:05 NZDT",Narcos-1.001
History,google.com,"eastbourne library","Google Chrome","2019-02-02 14:05:11 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"stuff nz","Microsoft Edge Analyzer","2019-01-28 20:23:54 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"espn cric info","Microsoft Edge Analyzer","2019-01-28 20:30:27 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,metservice,"Microsoft Edge Analyzer","2019-01-28 20:32:07 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"all blacks","Microsoft Edge Analyzer","2019-01-28 20:33:55 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,youtbe,"Microsoft Edge Analyzer","2019-01-28 20:35:40 NZDT",Narcos-1.001
WebCacheV01.dat,youtube.com,vines,"Microsoft Edge Analyzer","2019-01-28 20:35:57 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"trump memes","Microsoft Edge Analyzer","2019-01-28 20:38:50 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"trump memes","Microsoft Edge Analyzer","2019-01-28 20:38:54 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"Donald Is Stupid Meme","Microsoft Edge Analyzer","2019-01-28 20:40:46 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"download open office","Microsoft Edge Analyzer","2019-01-28 20:42:24 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"download discord","Microsoft Edge Analyzer","2019-01-28 20:55:46 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,protnmail,"Microsoft Edge Analyzer","2019-01-28 21:02:11 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"diving memes","Microsoft Edge Analyzer","2019-01-28 21:59:01 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"diving memes","Microsoft Edge Analyzer","2019-01-28 21:59:04 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,crayfish,"Microsoft Edge Analyzer","2019-01-28 22:00:06 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"crayfish diving","Microsoft Edge Analyzer","2019-01-28 22:00:14 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"crayfish diving nz","Microsoft Edge Analyzer","2019-01-28 22:01:10 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"crayfish diving nz","Microsoft Edge Analyzer","2019-01-28 22:01:12 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"cutting drugs","Microsoft Edge Analyzer","2019-01-28 22:58:52 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"cutting drugs","Microsoft Edge Analyzer","2019-01-28 22:59:54 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"cutting drugs","Microsoft Edge Analyzer","2019-01-28 23:00:21 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"cutting drugs","Microsoft Edge Analyzer","2019-01-28 23:00:22 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"cutting agents for ice","Microsoft Edge Analyzer","2019-01-28 23:02:00 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"how to launder money","Microsoft Edge Analyzer","2019-01-28 23:03:51 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"drug routes in wellington","Microsoft Edge Analyzer","2019-01-29 01:01:58 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,google.co.nz,"Microsoft Edge Analyzer","2019-01-29 01:02:12 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"drug routes in wellington","Microsoft Edge Analyzer","2019-01-29 01:02:39 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"drug routes in wellington","Microsoft Edge Analyzer","2019-01-29 01:02:52 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"drug routes in around wellington","Microsoft Edge Analyzer","2019-01-29 01:03:42 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"drug routes in around wellington","Microsoft Edge Analyzer","2019-01-29 01:03:47 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"international drug routes","Microsoft Edge Analyzer","2019-01-29 01:04:12 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"international drug routes","Microsoft Edge Analyzer","2019-01-29 01:04:16 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"sports biggest shits","Microsoft Edge Analyzer","2019-01-29 02:57:45 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"sports biggest hits","Microsoft Edge Analyzer","2019-01-29 02:57:51 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:05:06 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:05:10 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:05:11 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"Favorite Gary Larson Cartoons","Microsoft Edge Analyzer","2019-01-29 03:05:34 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:08:54 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:09:06 NZDT",Narcos-1.001
WebCacheV01.dat,youtube.com,"rugby union best hits","Microsoft Edge Analyzer","2019-01-29 03:09:34 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:13:06 NZDT",Narcos-1.001
WebCacheV01.dat,youtube.com,"rugby union thugs","Microsoft Edge Analyzer","2019-01-29 03:13:26 NZDT",Narcos-1.001
WebCacheV01.dat,youtube.com,"rugby union dirty players","Microsoft Edge Analyzer","2019-01-29 03:13:40 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"taxis wellington","Microsoft Edge Analyzer","2019-01-29 04:27:46 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"drink deals wellington","Microsoft Edge Analyzer","2019-01-29 04:28:17 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"drink deals courteney place","Microsoft Edge Analyzer","2019-01-29 04:28:26 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"poquito bar","Microsoft Edge Analyzer","2019-01-29 04:29:03 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"install chrome","Microsoft Edge Analyzer","2019-01-29 21:04:35 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"stuff nz","Microsoft Edge Analyzer","2019-01-28 20:23:54 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"espn cric info","Microsoft Edge Analyzer","2019-01-28 20:30:27 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,metservice,"Microsoft Edge Analyzer","2019-01-28 20:32:07 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"all blacks","Microsoft Edge Analyzer","2019-01-28 20:33:55 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,youtbe,"Microsoft Edge Analyzer","2019-01-28 20:35:40 NZDT",Narcos-1.001
WebCacheV01.dat,youtube.com,vines,"Microsoft Edge Analyzer","2019-01-28 20:35:57 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"trump memes","Microsoft Edge Analyzer","2019-01-28 20:38:50 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"trump memes","Microsoft Edge Analyzer","2019-01-28 20:40:45 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"Donald Is Stupid Meme","Microsoft Edge Analyzer","2019-01-28 20:40:45 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"Donald Is Stupid Meme","Microsoft Edge Analyzer","2019-01-28 20:40:46 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"download open office","Microsoft Edge Analyzer","2019-01-28 20:42:24 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"download discord","Microsoft Edge Analyzer","2019-01-28 20:55:46 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,protnmail,"Microsoft Edge Analyzer","2019-01-28 21:02:11 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"diving memes","Microsoft Edge Analyzer","2019-01-28 21:59:01 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"diving memes","Microsoft Edge Analyzer","2019-01-28 22:00:05 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,crayfish,"Microsoft Edge Analyzer","2019-01-28 22:00:04 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,crayfish,"Microsoft Edge Analyzer","2019-01-28 22:00:14 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"crayfish diving","Microsoft Edge Analyzer","2019-01-28 22:00:14 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"crayfish diving","Microsoft Edge Analyzer","2019-01-28 22:00:14 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"crayfish diving nz","Microsoft Edge Analyzer","2019-01-28 22:01:10 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"crayfish diving nz","Microsoft Edge Analyzer","2019-01-28 22:01:12 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"cutting drugs","Microsoft Edge Analyzer","2019-01-28 22:58:53 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"cutting drugs","Microsoft Edge Analyzer","2019-01-28 22:59:54 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"cutting drugs","Microsoft Edge Analyzer","2019-01-28 23:00:21 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"cutting drugs","Microsoft Edge Analyzer","2019-01-28 23:00:22 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"cutting agents for ice","Microsoft Edge Analyzer","2019-01-28 23:02:01 NZDT",Narcos-1.001
WebCacheV01.dat,google.com,"how to launder money","Microsoft Edge Analyzer","2019-01-28 23:03:51 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"drug routes in wellington","Microsoft Edge Analyzer","2019-01-29 01:01:58 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,google.co.nz,"Microsoft Edge Analyzer","2019-01-29 01:02:12 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"drug routes in wellington","Microsoft Edge Analyzer","2019-01-29 01:03:27 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"drug routes in wellington","Microsoft Edge Analyzer","2019-01-29 01:02:49 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"drug routes in wellington","Microsoft Edge Analyzer","2019-01-29 01:02:52 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"drug routes in around wellington","Microsoft Edge Analyzer","2019-01-29 01:03:55 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"drug routes in around wellington","Microsoft Edge Analyzer","2019-01-29 01:03:44 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"drug routes in around wellington","Microsoft Edge Analyzer","2019-01-29 01:03:47 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"international drug routes","Microsoft Edge Analyzer","2019-01-29 01:11:15 NZDT",Narcos-1.001
WebCacheV01.dat,google.co.nz,"international drug routes","Microsoft Edge Analyzer","2019-01-29 01:09:37 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"sports biggest shits","Microsoft Edge Analyzer","2019-01-29 02:57:45 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"sports biggest hits","Microsoft Edge Analyzer","2019-01-29 02:57:51 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:05:06 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:05:18 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:05:11 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"Favorite Gary Larson Cartoons","Microsoft Edge Analyzer","2019-01-29 03:05:34 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:08:54 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:09:09 NZDT",Narcos-1.001
WebCacheV01.dat,youtube.com,"rugby union best hits","Microsoft Edge Analyzer","2019-01-29 03:09:35 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"gary larson cartoons","Microsoft Edge Analyzer","2019-01-29 03:13:06 NZDT",Narcos-1.001
WebCacheV01.dat,youtube.com,"rugby union thugs","Microsoft Edge Analyzer","2019-01-29 03:13:26 NZDT",Narcos-1.001
WebCacheV01.dat,youtube.com,"rugby union dirty players","Microsoft Edge Analyzer","2019-01-29 03:13:41 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"taxis wellington","Microsoft Edge Analyzer","2019-01-29 04:27:46 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"drink deals wellington","Microsoft Edge Analyzer","2019-01-29 04:28:17 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"drink deals courteney place","Microsoft Edge Analyzer","2019-01-29 04:28:26 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"poquito bar","Microsoft Edge Analyzer","2019-01-29 04:29:03 NZDT",Narcos-1.001
WebCacheV01.dat,bing.com,"install chrome","Microsoft Edge Analyzer","2019-01-29 21:04:44 NZDT",Narcos-1.001
